,No.,Observed Passband,Measurement,Uncertainty,Units,Freq (Hz),Measurement.1,Uncertainty.1,Units.1,Mode,Aperture/Qualifiers,Reference Code,No..1
0,1,14-195 keV (Swift)   , 3.61E-11                      ,+/- 0.64E-11 ,erg/s/cm^2^          ,2.53e+19,1.43e-07,+/- 2.53E-08 ,Jy                   ,"Broad-band
",                                        ,2010ApJS..186..378T,1
1,2,14-195 keV (Suzaku)  , -10.6                         ,           ...,log(erg/s/cm^2^)     ,2.53e+19,9.93e-08,    ...      ,Jy                   ,"Broad-band
",                                        ,2012ApJ...745..107W,2
2,3,14-195 keV (Swift)   , 3.5E-11                       ,           ...,erg/cm^2^/s          ,2.53e+19,1.3800000000000002e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2008ApJ...681..113T,3
3,4,15-150 keV (Swift)   , 2.4e-11                       ,+/- 1.4e-11 ,erg/cm^2^/s          ,1.99e+19,1.2099999999999998e-07,+/- 7.04E-08 ,Jy                   ,"Broad-band
",                                        ,2010A&A...524A..64C,4
4,5,15-55 keV (Swift)    , 1.53E-11                      ,+/- 0.22E-11 ,erg/cm^2^/s          ,8.46e+18,1.8100000000000002e-07,+/- 2.60E-08 ,Jy                   ,"Broad-band
",                                        ,2009ApJ...699..603A,5
5,6,15-50 keV (Suzaku)   , -10.7                         ,           ...,log(erg/s/cm^2^)     ,7.86e+18,2.5399999999999997e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2012ApJ...745..107W,6
6,7,2-10 keV (XMM)       , 8.100E-12                     ,+/- 1.100E-12 , erg/cm^2^/s         ,1.45e+18,5.59e-07,+/- 7.59E-08 ,Jy                   ,"Broad-band
",                                        ,2009A&A...495..421B,7
7,8,2-10 keV (Swift)     , 11.89E-12                     ,           ..., erg/s/cm^2^         ,1.45e+18,8.2e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2009ApJ...690.1322W,8
8,9,2-10 keV (Suzaku)    , -11.0                         ,           ...,log(erg/s/cm^2^)     ,1.45e+18,6.9e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2012ApJ...745..107W,9
9,10,0.2-2 keV (ROSAT)    , 3.0150E-12                    ,+/- 2.9 %  ,erg/s/cm^2^          ,3.15e+17,9.570000000000001e-07,+/- 2.76E-08 ,Jy                   ,"Broad-band
",                                        ,2000WGA...C...0000W,10
10,11,0.5-2 keV (XMM)      , 5.600E-12                     ,+/- 0.700E-12 , erg/cm^2^/s         ,3.02e+17,1.85e-06,+/- 2.32E-07 ,Jy                   ,"Broad-band
",                                        ,2009A&A...495..421B,11
11,12,0.5-2 keV (Swift)    , 8.73E-12                      ,           ..., erg/s/cm^2^         ,3.02e+17,2.89e-06,    ...      ,Jy                   ,"Broad-band
",                                        ,2009ApJ...690.1322W,12
