,No.,Observed Passband,Measurement,Uncertainty,Units,Freq (Hz),Measurement.1,Uncertainty.1,Units.1,Mode,Aperture/Qualifiers,Reference Code,No..1
0,1,FUV (GALEX) AB       ,...                            ,>20.7795    ,mag                  ,1950000000000000.0,,<   1.77E-05 ,Jy                   ,"Broad-band
",upper limit inside NUV Kron aperture    ,2012GASC..C...0000S,1
1,2,FUV (GALEX) AB       , 22.1951                       ,+/- 0.791330 ,mag                  ,1950000000000000.0,4.81e-06,+/- 3.50E-06 ,Jy                   ,"Broad-band
",Flux in 7.5 arcsec diameter aperture    ,2012GASC..C...0000S,2
2,3,NUV (GALEX) AB       , 20.4658                       ,+/- 0.209860 ,mag                  ,1290000000000000.0,2.36e-05,+/- 4.57E-06 ,Jy                   ,"Broad-band
",Kron flux in elliptical aperture        ,2012GASC..C...0000S,3
3,4,NUV (GALEX) AB       , 20.9191                       ,+/- 0.243315 ,mag                  ,1290000000000000.0,1.56e-05,+/- 3.49E-06 ,Jy                   ,"Broad-band
",Flux in 7.5 arcsec diameter aperture    ,2012GASC..C...0000S,4
4,5,u (SDSS CModel) AB   , 19.346                        ,           ...,asinh mag            ,836000000000000.0,6.879999999999999e-05,    ...      ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,5
5,6,u (SDSS Model) AB    , 19.152                        ,+/- 0.035  ,asinh mag            ,836000000000000.0,8.23e-05,+/- 2.65E-06 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,6
6,7,u (SDSS PSF) AB      , 19.674                        ,+/- 0.035  ,asinh mag            ,836000000000000.0,5.0900000000000004e-05,+/- 1.64E-06 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,7
7,8,g (SDSS Model) AB    , 18.186                        ,+/- 0.007  ,asinh mag            ,617000000000000.0,0.000193,+/- 1.24E-06 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,8
8,9,g (SDSS CModel) AB   , 18.228                        ,           ...,asinh mag            ,617000000000000.0,0.00018600000000000002,    ...      ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,9
9,10,g (SDSS PSF) AB      , 18.787                        ,+/- 0.021  ,asinh mag            ,617000000000000.0,0.00011100000000000001,+/- 2.15E-06 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,10
