,No.,Observed Passband,Measurement,Uncertainty,Units,Freq (Hz),Measurement.1,Uncertainty.1,Units.1,Mode,Aperture/Qualifiers,Reference Code,No..1
0,1,FUV (GALEX) AB       ,19.067,+/- 0.116  ,mag                  ,1970000000000000.0,8.57e-05,+/- 9.16E-06 ,Jy                   ,"Broad-band
",                                        ,2007AJ....133.1780T,1
1,2,FUV (GALEX) AB       ,19.1343,+/- 0.135331 ,mag                  ,1950000000000000.0,8.06e-05,+/- 1.00E-05 ,Jy                   ,"Broad-band
",Kron flux in elliptical aperture        ,2012GASC..C...0000S,2
2,3,FUV (GALEX) AB       ,19.6892,+/- 0.190134 ,mag                  ,1950000000000000.0,4.83e-05,+/- 8.46E-06 ,Jy                   ,"Broad-band
",Flux in 7.5 arcsec diameter aperture    ,2012GASC..C...0000S,3
3,4,NUV (GALEX) AB       ,18.79,+/- 0.061  ,mag                  ,1360000000000000.0,0.00011100000000000001,+/- 6.22E-06 ,Jy                   ,"Broad-band
",                                        ,2007AJ....133.1780T,4
4,5,NUV (GALEX) AB       ,18.7681,+/- 0.0670477 ,mag                  ,1290000000000000.0,0.000113,+/- 6.97E-06 ,Jy                   ,"Broad-band
",Kron flux in elliptical aperture        ,2012GASC..C...0000S,5
5,6,NUV (GALEX) AB       ,19.4024,+/- 0.0906591 ,mag                  ,1290000000000000.0,6.3e-05,+/- 5.26E-06 ,Jy                   ,"Broad-band
",Flux in 7.5 arcsec diameter aperture    ,2012GASC..C...0000S,6
6,7,u (SDSS CModel) AB   ,18.303,           ...,asinh mag            ,836000000000000.0,0.000173,    ...      ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2004SDSS3.C...0000:,7
7,8,u (SDSS Petrosian)AB ,18.277,+/- 0.018  ,asinh mag            ,836000000000000.0,0.000184,+/- 2.97E-06 ,Jy                   ,"Broad-band
","SDSS Petrosian Radius =    0.55"".         
",2004SDSS3.C...0000:,8
8,9,u (SDSS PSF) AB      ,18.392,+/- 0.020  ,asinh mag            ,836000000000000.0,0.000166,+/- 3.03E-06 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2004SDSS3.C...0000:,9
9,10,u (SDSS PSF) AB      ,18.392,+/- 0.020  ,asinh mag            ,836000000000000.0,0.000166,+/- 3.05E-06 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,10
10,11,u (SDSS CModel) AB   ,18.303,           ...,asinh mag            ,836000000000000.0,0.00018,    ...      ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,11
11,12,u (SDSS Model) AB    ,18.206,+/- 0.015  ,asinh mag            ,836000000000000.0,0.000197,+/- 2.72E-06 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,12
12,13,u (SDSS Model) AB    ,18.206,+/- 0.015  ,asinh mag            ,836000000000000.0,0.000197,+/- 2.64E-06 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2004SDSS3.C...0000:,13
13,14,[Fe II] 4570 (SDSS)  ,-14.1,           ...,log(erg/s/cm^2^)     ,656000000000000.0,794000000.0,    ...      ,Jy-Hz                ,"Line
",Broad component                         ,2011ApJ...736...86D,14
14,15,[Fe II] 4570 (SDSS)  ,-15.37,           ...,log(erg/s/cm^2^)     ,656000000000000.0,42700000.0,    ...      ,Jy-Hz                ,"Line
",Narrow component                        ,2011ApJ...736...86D,15
15,16,g (SDSS Petrosian)AB ,18.179000000000002,+/- 0.008  ,asinh mag            ,617000000000000.0,0.000194,+/- 1.49E-06 ,Jy                   ,"Broad-band
","SDSS Petrosian Radius =    0.65"".         
",2004SDSS3.C...0000:,16
16,17,g (SDSS PSF) AB      ,18.345,+/- 0.017  ,asinh mag            ,617000000000000.0,0.000167,+/- 2.61E-06 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,17
17,18,g (SDSS Model) AB    ,18.119,+/- 0.007  ,asinh mag            ,617000000000000.0,0.000205,+/- 1.32E-06 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2004SDSS3.C...0000:,18
18,19,g (SDSS CModel) AB   ,18.209,           ...,asinh mag            ,617000000000000.0,0.00018899999999999999,    ...      ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,19
19,20,g (SDSS CModel) AB   ,18.209,           ...,asinh mag            ,617000000000000.0,0.00018899999999999999,    ...      ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2004SDSS3.C...0000:,20
20,21,g (SDSS Model) AB    ,18.119,+/- 0.007  ,asinh mag            ,617000000000000.0,0.000205,+/- 1.32E-06 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,21
21,22,H{beta} (SDSS)       ,-15.91,           ...,log(erg/s/cm^2^)     ,617000000000000.0,12300000.0,    ...      ,Jy-Hz                ,"Line
",Narrow component                        ,2011ApJ...736...86D,22
22,23,H{beta} (SDSS)       ,-13.88,           ...,log(erg/s/cm^2^)     ,617000000000000.0,1320000000.0,    ...      ,Jy-Hz                ,"Line
",Broad component                         ,2011ApJ...736...86D,23
23,24,g (SDSS PSF) AB      ,18.345,+/- 0.017  ,asinh mag            ,617000000000000.0,0.000167,+/- 2.63E-06 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2004SDSS3.C...0000:,24
