# Frequency	Power
8.5470085470e-06 1.0823126135e+04
1.7094017094e-05 2.2281643461e+03
2.5641025641e-05 7.4306731304e+03
3.4188034188e-05 3.7847814356e+02
4.2735042735e-05 3.9099487680e+03
5.1282051282e-05 5.2403633504e+02
5.9829059829e-05 1.0205123453e+03
6.8376068376e-05 5.9213036738e+02
7.6923076923e-05 1.6680457986e+02
8.5470085470e-05 1.2387159104e+02
9.4017094017e-05 9.8551414927e+01
1.0256410256e-04 2.3984915008e+02
1.1111111111e-04 3.9172602206e+02
1.1965811966e-04 3.1122297826e+02
1.2820512821e-04 5.0563792968e+02
1.3675213675e-04 1.3301844069e+01
1.4529914530e-04 3.7317617614e+01
1.5384615385e-04 3.0966380801e+02
1.6239316239e-04 3.9380413256e+02
1.7094017094e-04 2.3808597701e+02
1.7948717949e-04 1.2092439792e+01
1.8803418803e-04 4.2410459495e+02
1.9658119658e-04 2.8368775481e+02
2.0512820513e-04 1.6356882704e+02
2.1367521368e-04 6.9489997493e+01
2.2222222222e-04 1.0982741174e+02
2.3076923077e-04 3.2847535922e+02
2.3931623932e-04 2.2715291861e+01
2.4786324786e-04 8.8879812513e+00
2.5641025641e-04 3.6091020172e+01
2.6495726496e-04 6.5804514031e+01
2.7350427350e-04 1.6546220406e+01
2.8205128205e-04 7.1464223181e+01
2.9059829060e-04 3.4890228686e+02
2.9914529915e-04 6.3949064088e+01
3.0769230769e-04 3.8992541315e+02
3.1623931624e-04 1.6215765339e+01
3.2478632479e-04 8.0226845834e+01
3.3333333333e-04 1.3049590796e+01
3.4188034188e-04 7.4321096645e+01
3.5042735043e-04 5.3156408884e+01
3.5897435897e-04 7.9534373111e+01
3.6752136752e-04 1.6800077503e+01
3.7606837607e-04 1.1654928540e+02
3.8461538462e-04 2.5465074943e+01
3.9316239316e-04 2.3436828998e+01
4.0170940171e-04 2.0611373909e+00
4.1025641026e-04 5.6232447621e+01
4.1880341880e-04 9.2674511658e+00
4.2735042735e-04 9.2881167391e+01
4.3589743590e-04 1.1753205672e+00
4.4444444444e-04 3.4223148167e+01
4.5299145299e-04 6.7215871559e+00
4.6153846154e-04 1.6170030028e+01
4.7008547009e-04 7.9730487594e+01
4.7863247863e-04 1.2784663471e+01
4.8717948718e-04 3.2090520908e+00
4.9572649573e-04 8.3693535705e+00
5.0427350427e-04 3.3739107091e+01
5.1282051282e-04 4.5138403306e+00
5.2136752137e-04 1.1041045007e+01
5.2991452991e-04 1.5568354552e+01
5.3846153846e-04 7.7318278449e+01
5.4700854701e-04 3.7465378101e+00
5.5555555556e-04 3.9460270193e+01
5.6410256410e-04 2.8599309334e+01
5.7264957265e-04 9.8090670265e+01
5.8119658120e-04 2.0602701309e+00
5.8974358974e-04 6.7022620988e+00
