,No.,Observed Passband,Measurement,Uncertainty,Units,Freq (Hz),Measurement.1,Uncertainty.1,Units.1,Mode,Aperture/Qualifiers,Reference Code,No..1
0,1,FUV (GALEX) AB       ,20.5772,+/- 0.264215 ,mag                  ,1950000000000000.0,2.13e-05,+/- 5.19E-06 ,Jy                   ,"Broad-band
",Kron flux in elliptical aperture        ,2012GASC..C...0000S,1
1,2,FUV (GALEX) AB       ,21.2394,+/- 0.364198 ,mag                  ,1950000000000000.0,1.1599999999999999e-05,+/- 3.89E-06 ,Jy                   ,"Broad-band
",Flux in 7.5 arcsec diameter aperture    ,2012GASC..C...0000S,2
2,3,FUV (GALEX) AB       ,19.9178,+/- 0.0496268 ,mag                  ,1950000000000000.0,3.9200000000000004e-05,+/- 1.79E-06 ,Jy                   ,"Broad-band
",Kron flux in elliptical aperture        ,2012GMSC..C...0000S,3
3,4,FUV (GALEX) AB       ,20.3743,+/- 0.0644075 ,mag                  ,1950000000000000.0,2.57e-05,+/- 1.53E-06 ,Jy                   ,"Broad-band
",Flux in 7.5 arcsec diameter aperture    ,2012GMSC..C...0000S,4
4,5,NUV (GALEX) AB       ,20.3181,+/- 0.151894 ,mag                  ,1290000000000000.0,2.71e-05,+/- 3.79E-06 ,Jy                   ,"Broad-band
",Kron flux in elliptical aperture        ,2012GASC..C...0000S,5
5,6,NUV (GALEX) AB       ,20.6021,+/- 0.150638 ,mag                  ,1290000000000000.0,2.09e-05,+/- 2.89E-06 ,Jy                   ,"Broad-band
",Flux in 7.5 arcsec diameter aperture    ,2012GASC..C...0000S,6
6,7,NUV (GALEX) AB       ,20.0285,+/- 0.0359286 ,mag                  ,1290000000000000.0,3.54e-05,+/- 1.17E-06 ,Jy                   ,"Broad-band
",Kron flux in elliptical aperture        ,2012GMSC..C...0000S,7
7,8,NUV (GALEX) AB       ,20.5445,+/- 0.0394623 ,mag                  ,1290000000000000.0,2.2e-05,+/- 7.99E-07 ,Jy                   ,"Broad-band
",Flux in 7.5 arcsec diameter aperture    ,2012GMSC..C...0000S,8
8,9,u (SDSS CModel) AB   ,19.212,           ...,asinh mag            ,836000000000000.0,7.5e-05,    ...      ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2004SDSS2.C...0000:,9
9,10,u (SDSS Petrosian)AB ,19.199,+/- 0.069  ,asinh mag            ,836000000000000.0,7.879999999999999e-05,+/- 5.02E-06 ,Jy                   ,"Broad-band
","SDSS Petrosian Radius =    0.72"".         
",2004SDSS2.C...0000:,10
