,No.,Observed Passband,Measurement,Uncertainty,Units,Freq (Hz),Measurement.1,Uncertainty.1,Units.1,Mode,Aperture/Qualifiers,Reference Code,No..1
0,1,u (SDSS PSF) AB      ,20.0,+/- 0.038  ,asinh mag            ,836000000000000.0,3.77e-05,+/- 1.32E-06 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2005SDSS4.C...0000:,1
1,2,u (SDSS Model) AB    ,19.533,+/- 0.039  ,asinh mag            ,836000000000000.0,5.79e-05,+/- 2.07E-06 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2005SDSS4.C...0000:,2
2,3,u (SDSS CModel) AB   ,19.866,           ...,asinh mag            ,836000000000000.0,4.11e-05,    ...      ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2005SDSS4.C...0000:,3
3,4,u (SDSS Petrosian)AB ,19.789,+/- 0.083  ,asinh mag            ,836000000000000.0,4.57e-05,+/- 3.49E-06 ,Jy                   ,"Broad-band
","SDSS Petrosian Radius =    0.64"".         
",2005SDSS4.C...0000:,4
4,5,u (SDSS PSF) AB      ,20.0,+/- 0.038  ,asinh mag            ,836000000000000.0,3.77e-05,+/- 1.32E-06 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,5
5,6,u (SDSS CModel) AB   ,19.866,           ...,asinh mag            ,836000000000000.0,4.26e-05,    ...      ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,6
6,7,u (SDSS Model) AB    ,19.533,+/- 0.039  ,asinh mag            ,836000000000000.0,5.79e-05,+/- 2.08E-06 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,7
7,8,g (SDSS CModel) AB   ,19.267,           ...,asinh mag            ,617000000000000.0,7.13e-05,    ...      ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2005SDSS4.C...0000:,8
8,9,g (SDSS Petrosian)AB ,19.230999999999998,+/- 0.025  ,asinh mag            ,617000000000000.0,7.37e-05,+/- 1.72E-06 ,Jy                   ,"Broad-band
","SDSS Petrosian Radius =    0.93"".         
",2005SDSS4.C...0000:,9
9,10,g (SDSS PSF) AB      ,19.685,+/- 0.021  ,asinh mag            ,617000000000000.0,4.85e-05,+/- 9.39E-07 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,10
10,11,g (SDSS PSF) AB      ,19.685,+/- 0.021  ,asinh mag            ,617000000000000.0,4.85e-05,+/- 9.53E-07 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2005SDSS4.C...0000:,11
11,12,g (SDSS CModel) AB   ,19.267,           ...,asinh mag            ,617000000000000.0,7.13e-05,    ...      ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,12
12,13,g (SDSS Model) AB    ,19.11,+/- 0.014  ,asinh mag            ,617000000000000.0,8.240000000000001e-05,+/- 1.05E-06 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2005SDSS4.C...0000:,13
13,14,g (SDSS Model) AB    ,19.11,+/- 0.014  ,asinh mag            ,617000000000000.0,8.240000000000001e-05,+/- 1.06E-06 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,14
14,15,r (SDSS Petrosian)AB ,18.227,+/- 0.013  ,asinh mag            ,477000000000000.0,0.00018600000000000002,+/- 2.26E-06 ,Jy                   ,"Broad-band
","SDSS Petrosian Radius =    1.02"".         
",2005SDSS4.C...0000:,15
15,16,r (SDSS PSF) AB      ,18.897000000000002,+/- 0.017  ,asinh mag            ,477000000000000.0,0.0001,+/- 1.57E-06 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,16
